arrival_info,stop_number,stop_name,stop_id,latitude,longitude
6分鐘,67,捷運市政府站,1107100120,25.041057,121.5653493
無資料,1,消防局(松仁),1107300441,25.038604,121.568284
無資料,2,興雅國中,1107300740,25.037232,121.5682685
無資料,3,信義松仁路口(松仁),1105800440,25.034535,121.568236
無資料,4,松平路口,1104600340,25.030795,121.568193
無資料,5,信義國中(松仁),1105900040,25.02881,121.568164
無資料,6,吳興國小(松仁),1104600040,25.026231,121.568554
無資料,7,松仁路,1104600240,25.024432,121.569585
無資料,8,松仁路,1104600200,25.02453,121.5695997
無資料,9,吳興國小(松仁),1104600000,25.026234,121.568628
無資料,10,信義國中(莊敬),1105000200,25.027607,121.56521
無資料,11,臺北醫學大學,1105000300,25.028241,121.5634888
無資料,12,景新里,1104900400,25.029526,121.5623852
無資料,13,世貿中心(莊敬),1104900100,25.031399,121.561326
無資料,14,信義光復路口,1105200260,25.0331,121.55813
無資料,15,三張犁,1107400000,25.033777,121.5575983
無資料,16,市民住宅,1107300100,25.03663,121.5576
無資料,17,國父紀念館,1069400000,25.039018,121.5577195
無資料,18,捷運國父紀念館站(光復),1069400100,25.042733,121.557919
無資料,19,臺北市區監理所(光復),1055500000,25.04698,121.5579397
無資料,20,榮民服務處,1056000100,25.048703,121.557946
無資料,21,南京寧安街口,1058000060,25.051659,121.5555163
無資料,22,南京敦化路口(小巨蛋),1059500060,25.051793,121.5495209
無資料,23,捷運南京復興站,1054700060,25.051885,121.5444647
無資料,24,南京龍江路口,1048700460,25.051963,121.5407049
無資料,25,南京建國路口,1048700360,25.052089,121.5372713
無資料,26,捷運松江南京站,1048600160,25.052114,121.533302
無資料,27,南京吉林路口,1045700260,25.052112,121.5303325
無資料,28,南京林森路口,1045400160,25.052167,121.5257174
無資料,29,捷運中山站(志仁高中),1035200160,25.052867,121.519866
無資料,30,建成公園,1035300200,25.05462,121.51825
無資料,31,民生西路口,1035300100,25.05801,121.51829
無資料,32,成淵高中,1035400100,25.060893,121.5184069
無資料,33,防癆協會,1036400200,25.06357,121.51846
無資料,34,大同國小,1035300000,25.066329,121.5185171
無資料,35,民族承德路口,1036500000,25.06894,121.5185487
無資料,36,庫倫街口,1036700400,25.072586,121.5190411
無資料,37,明倫高中,1036800000,25.074249,121.5199745
無資料,38,劍潭國小,1116700200,25.081066,121.5227513
無資料,39,圓山皇宮大廈,1116600100,25.083356,121.523596
無資料,40,捷運劍潭站(北藝中心),1116200500,25.084914,121.524923
無資料,41,小北街,1116300500,25.090706,121.526903
無資料,42,士林,1115900000,25.096111,121.524405
無資料,43,捷運芝山站一,1115900300,25.100795,121.522657
無資料,44,捷運芝山站(戲曲中心),1115900200,25.1025,121.52067
無資料,45,中正高中,1128700000,25.105815,121.517376
無資料,46,文林國小,1128700100,25.107487,121.515157
無資料,47,石牌,1128700200,25.110447,121.5117787
無資料,48,承德路七段,1126200500,25.11294,121.50901
無資料,49,實踐街口,1126200600,25.114088,121.5077201
無資料,50,立賢承德路口,1126200800,25.11585,121.50576
無資料,51,立農國小,1126200200,25.117318,121.5041908
無資料,52,承德公館路口,1126200471,25.11997,121.501232
無資料,53,大業路(農禪寺),1126800400,25.12271,121.49945
無資料,54,鳳甲美術館,1126800800,25.126464,121.498447
無資料,55,大業路(大興街口),1126800500,25.12909,121.49742
無資料,56,大業路(捷運北投站),1126800600,25.131914,121.496187
無資料,57,幼華高中(大業),1126800200,25.133805,121.496138
無資料,58,大業中央北路口,1126300020,25.135605,121.498029
無資料,59,北投國小,1126300340,25.133845,121.5007209
無資料,60,第一銀行,1124600500,25.134924,121.5025486
無資料,61,北投公園,1124300300,25.136504,121.5043499
無資料,62,新北投,1125200900,25.137787,121.5031168
無資料,63,中和街,1125200100,25.139208,121.5016884
無資料,64,復興中學,1125200600,25.140779,121.5000398
無資料,65,中和里,1125200000,25.142271,121.4988228
無資料,66,國泰新村,1125200500,25.143488,121.4981912
無資料,67,慈航寺,1125200800,25.144813,121.496498
無資料,68,秀山里,1125200360,25.145428,121.4941353
無資料,69,貴子坑水土保持園區,1125200740,25.145263,121.4926337
無資料,70,北投站,1125200240,25.144595,121.492071
